comparison,method,m,epoch,update,train_loss_step,train_acc_step,train_eval_loss,train_eval_acc,test_loss,test_acc,generalization_gap,elapsed_sec
same_updates,m_sam,512,,1,2.561119318008423,0.080078125,2.4080121043395994,0.08194,2.406436920928955,0.0843,-0.002360000000000001,4.757107973098755
same_updates,m_sam,512,,2,2.4083962440490723,0.091796875,2.377174563293457,0.08482,2.3751626571655273,0.0825,0.0023200000000000026,8.104857683181763
same_updates,m_sam,512,,3,2.385615825653076,0.064453125,2.3677059738922117,0.09252,2.3656739585876463,0.0947,-0.0021800000000000014,11.462167263031006
same_updates,m_sam,512,,4,2.384547710418701,0.08203125,2.378050864868164,0.09954,2.3760609336853027,0.0978,0.0017400000000000054,14.831703901290894
same_updates,m_sam,512,,5,2.3832509517669678,0.0859375,2.3826018350982667,0.10014,2.3816856430053712,0.1001,4.000000000001225e-05,18.06625485420227
same_updates,m_sam,512,,6,2.408006191253662,0.087890625,2.3205067168426514,0.10048,2.3197853897094727,0.1,0.0004799999999999943,21.412025690078735
same_updates,m_sam,512,,7,2.3289761543273926,0.1015625,2.317611521987915,0.13672,2.3169359077453615,0.1358,0.0009200000000000041,24.707422733306885
same_updates,m_sam,512,,8,2.314591884613037,0.12109375,2.380436774215698,0.11096,2.380390281677246,0.113,-0.00204,28.063133716583252
same_updates,m_sam,512,,9,2.364527940750122,0.109375,2.436567112503052,0.12802,2.4364831466674803,0.1279,0.00011999999999998123,31.399519205093384
same_updates,m_sam,512,,10,2.4364662170410156,0.123046875,2.4379827923583983,0.13226,2.4373249603271483,0.1311,0.0011599999999999944,34.70214796066284
same_updates,m_sam,512,,11,2.4549732208251953,0.099609375,2.3978791106414796,0.14782,2.3964362930297853,0.1478,2.0000000000020002e-05,38.01246666908264
same_updates,m_sam,512,,12,2.4157297611236572,0.162109375,2.3436431309509276,0.15404,2.3418215148925783,0.1549,-0.0008599999999999997,41.23556566238403
same_updates,m_sam,512,,13,2.3603386878967285,0.125,2.284549398651123,0.16664,2.2826528354644777,0.1672,-0.0005599999999999772,44.541016817092896
same_updates,m_sam,512,,14,2.3021490573883057,0.158203125,2.2595611070251467,0.15764,2.257925144958496,0.1598,-0.0021599999999999953,47.83208107948303
same_updates,m_sam,512,,15,2.2603557109832764,0.162109375,2.2769433311462404,0.11354,2.2754805267333986,0.1123,0.001240000000000005,51.12402844429016
same_updates,m_sam,512,,16,2.258967876434326,0.125,2.2997479669189453,0.11546,2.2987076091766356,0.1158,-0.00034000000000000696,54.409454345703125
same_updates,m_sam,512,,17,2.294560432434082,0.095703125,2.306873660736084,0.10004,2.306056787490845,0.1,3.999999999999837e-05,57.73793649673462
same_updates,m_sam,512,,18,2.302823305130005,0.095703125,2.2646597804260256,0.10886,2.2635311054229734,0.1082,0.0006599999999999939,61.058568716049194
same_updates,m_sam,512,,19,2.266214370727539,0.12890625,2.244945248260498,0.14522,2.243453614807129,0.1461,-0.0008800000000000197,64.34113049507141
same_updates,m_sam,512,,20,2.2677156925201416,0.126953125,2.2434183209991456,0.18726,2.2418762992858885,0.1916,-0.004339999999999983,67.66356873512268
same_updates,m_sam,512,,21,2.2458953857421875,0.173828125,2.262462245864868,0.17714,2.26102229309082,0.1788,-0.0016599999999999948,71.01176309585571
same_updates,m_sam,512,,22,2.2896409034729004,0.15625,2.282718123779297,0.16234,2.2812986011505125,0.1626,-0.00025999999999998247,74.31078338623047
same_updates,m_sam,512,,23,2.3059959411621094,0.166015625,2.285050661621094,0.18096,2.2834281383514403,0.1806,0.0003599999999999992,77.63876032829285
same_updates,m_sam,512,,24,2.269852876663208,0.18359375,2.2806363706970214,0.1743,2.2784865112304686,0.1725,0.0018000000000000238,80.97168684005737
same_updates,m_sam,512,,25,2.3114118576049805,0.162109375,2.263765446166992,0.1717,2.2612638717651365,0.1712,0.0005000000000000004,84.23113012313843
same_updates,m_sam,512,,26,2.27597713470459,0.1796875,2.241152753601074,0.1973,2.2384403785705564,0.1961,0.0012000000000000066,87.5057053565979
same_updates,m_sam,512,,27,2.2691426277160645,0.1875,2.2245911988830565,0.19432,2.22193646774292,0.1934,0.0009200000000000041,90.77883744239807
same_updates,m_sam,512,,28,2.2563095092773438,0.185546875,2.223938019866943,0.16234,2.2217690452575685,0.1613,0.0010400000000000131,94.12147617340088
same_updates,m_sam,512,,29,2.2238969802856445,0.17578125,2.2391396971130373,0.15736,2.237682015609741,0.1565,0.0008599999999999997,97.4469997882843
same_updates,m_sam,512,,30,2.2401676177978516,0.14453125,2.2464283781433108,0.1509,2.2451993286132814,0.1542,-0.0032999999999999974,100.79244017601013
