comparison,method,m,epoch,update,train_loss_step,train_acc_step,train_eval_loss,train_eval_acc,test_loss,test_acc,generalization_gap,elapsed_sec
same_epochs,m_sam,512,1,98,2.1786082222747805,0.19164,2.0070935523986817,0.25346,2.0023458234786986,0.2569,-0.0034399999999999986,7.936581134796143
same_epochs,m_sam,512,2,196,1.944373700027466,0.2842,1.849653769798279,0.32862,1.842131697845459,0.3345,-0.005879999999999996,14.894138813018799
same_epochs,m_sam,512,3,294,1.843784248123169,0.32556,1.7587964267730714,0.37022,1.7498189472198487,0.376,-0.005780000000000007,21.676510095596313
same_epochs,m_sam,512,4,392,1.769208582496643,0.35276,1.6987010689544677,0.38666,1.6902497669219971,0.3899,-0.0032400000000000206,41.96783685684204
same_epochs,m_sam,512,5,490,1.7006455068588258,0.37672,1.6557091628265381,0.39992,1.651668900680542,0.3997,0.00021999999999999797,48.76181411743164
same_epochs,m_sam,512,6,588,1.6564951028442383,0.39508,1.59270425907135,0.42592,1.589366501235962,0.4246,0.0013200000000000434,55.57987999916077
same_epochs,m_sam,512,7,686,1.6140006420898438,0.40834,1.5797453162384034,0.42466,1.5772677425384523,0.4234,0.0012599999999999834,62.36839580535889
same_epochs,m_sam,512,8,784,1.57898432762146,0.4241,1.5421386966323853,0.44616,1.5402408323287964,0.4452,0.0009600000000000164,69.18088388442993
same_epochs,m_sam,512,9,882,1.547235784034729,0.43564,1.5260921772003173,0.44616,1.5266633460998535,0.446,0.00015999999999999348,76.1060540676117
same_epochs,m_sam,512,10,980,1.519923130722046,0.44502,1.4830399448013305,0.46836,1.4831709486007691,0.4645,0.0038599999999999746,82.97625374794006
same_epochs,m_sam,512,11,1078,1.496347403869629,0.45346,1.485226361694336,0.4642,1.485760913848877,0.4609,0.003300000000000025,89.94428253173828
same_epochs,m_sam,512,12,1176,1.4766070286941528,0.46618,1.4612563695907592,0.47012,1.462138966178894,0.4651,0.005019999999999969,99.52765583992004
